date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-06-03,3,0.6501137601498005,0.0,0.3498862398501995,0.3498862398501995,2024-05-03,,0.2666666666666666,-0.01655290651686614
2024-06-04,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-06-04,cap,0.2666666666666666,0.0
2024-06-05,3,0.6594176135109246,0.0,0.3405823864890754,0.3405823864890754,2024-06-04,,0.2666666666666666,-0.00724905315574198
2024-06-07,3,0.6655740771731979,0.0,0.33442592282680206,0.3402192886903561,2024-06-04,,0.2666666666666666,-0.0010925894934686875
2024-06-10,3,0.6590594653365773,0.0,0.3409405346634228,0.3409405346634228,2024-06-04,,0.2666666666666666,-0.007607201330089297
2024-06-11,3,0.6618284702405868,0.0,0.3381715297594132,0.34679047140661867,2024-06-04,,0.2666666666666666,-0.004838196426079855
2024-06-12,3,0.6452107023900979,0.0,0.3547892976099022,0.3547892976099022,2024-06-04,,0.2666666666666666,-0.021455964276568706
2024-06-13,3,0.6328497084861201,0.0,0.3671502915138799,0.3671502915138799,2024-06-04,,0.2666666666666666,-0.03381695818054653
2024-06-14,3,0.6450838273550901,0.0,0.35491617264490977,0.35491617264490977,2024-06-04,,0.2666666666666666,-0.021582839311576563
2024-06-17,4,0.67,0.18,0.15,0.4596282184053893,2024-06-17,regular,0.27,0.0
2024-06-18,4,0.6773242084849935,0.17588706154525666,0.14678872996974968,0.46043591226086505,2024-06-17,,0.27,0.0073242084849934885
2024-06-19,4,0.541982004926979,0.24982799731255692,0.2081899977604641,0.29198200492697896,2024-06-19,cap,0.141982004926979,0.0
2024-06-20,4,0.5472457404251296,0.2526267389993514,0.20012752057551894,0.29645856476460936,2024-06-19,,0.141982004926979,0.0052637354981506235
2024-06-21,4,0.5499072915807741,0.2596777054482855,0.19041500297094038,0.29857686723249777,2024-06-19,,0.141982004926979,0.007925286653795105
2024-06-24,4,0.5536244934794178,0.2600746782614558,0.18630082825912642,0.29293732079363394,2024-06-19,,0.141982004926979,0.011642488552438768
